model,dataset,sample_id,num_steps
gpt-4o,ethics,pilot_0000,4
gpt-4o,ethics,pilot_0001,4
gpt-4o,ethics,pilot_0002,4
gpt-4o,ethics,pilot_0003,4
gpt-4o,ethics,pilot_0004,4
gpt-4o,ethics,pilot_0005,4
gpt-4o,ethics,pilot_0006,4
gpt-4o,ethics,pilot_0007,4
gpt-4o,ethics,pilot_0008,4
gpt-4o,ethics,pilot_0009,4
gpt-4o,ethics,pilot_0010,4
gpt-4o,ethics,pilot_0011,4
gpt-4o,ethics,pilot_0012,4
gpt-4o,ethics,pilot_0013,4
gpt-4o,ethics,pilot_0014,4
gpt-4o,ethics,pilot_0015,5
gpt-4o,ethics,pilot_0016,4
gpt-4o,ethics,pilot_0017,4
gpt-4o,ethics,pilot_0018,4
gpt-4o,ethics,pilot_0019,4
gpt-4o,ethics,pilot_0020,4
gpt-4o,ethics,pilot_0021,4
gpt-4o,ethics,pilot_0022,4
gpt-4o,ethics,pilot_0023,4
gpt-4o,ethics,pilot_0024,4
gpt-4o,ethics,pilot_0025,4
gpt-4o,ethics,pilot_0026,4
gpt-4o,ethics,pilot_0027,4
gpt-4o,ethics,pilot_0028,5
gpt-4o,ethics,pilot_0029,3
gpt-4o,ethics,pilot_0030,4
gpt-4o,ethics,pilot_0031,4
gpt-4o,ethics,pilot_0032,4
gpt-4o,ethics,pilot_0033,4
gpt-4o,ethics,pilot_0034,4
gpt-4o,ethics,pilot_0035,4
gpt-4o,ethics,pilot_0036,4
gpt-4o,ethics,pilot_0037,4
gpt-4o,ethics,pilot_0038,4
gpt-4o,ethics,pilot_0039,4
gpt-4o,ethics,pilot_0040,4
gpt-4o,ethics,pilot_0041,4
gpt-4o,ethics,pilot_0042,4
gpt-4o,ethics,pilot_0043,4
gpt-4o,ethics,pilot_0044,4
gpt-4o,ethics,pilot_0045,4
gpt-4o,ethics,pilot_0046,3
gpt-4o,ethics,pilot_0047,4
gpt-4o,ethics,pilot_0048,3
gpt-4o,ethics,pilot_0049,4
gpt-4o,ethics,pilot_0050,5
gpt-4o,ethics,pilot_0051,4
gpt-4o,ethics,pilot_0052,4
gpt-4o,ethics,pilot_0053,4
gpt-4o,ethics,pilot_0054,4
gpt-4o,ethics,pilot_0055,4
gpt-4o,ethics,pilot_0056,3
gpt-4o,ethics,pilot_0057,3
gpt-4o,ethics,pilot_0058,4
gpt-4o,ethics,pilot_0059,4
gpt-4o,ethics,pilot_0060,4
gpt-4o,ethics,pilot_0061,4
gpt-4o,ethics,pilot_0062,5
gpt-4o,ethics,pilot_0063,4
gpt-4o,ethics,pilot_0064,4
gpt-4o,ethics,pilot_0065,4
gpt-4o,ethics,pilot_0066,4
gpt-4o,ethics,pilot_0067,4
gpt-4o,ethics,pilot_0068,4
gpt-4o,ethics,pilot_0069,4
gpt-4o,ethics,pilot_0070,4
gpt-4o,ethics,pilot_0071,4
gpt-4o,ethics,pilot_0072,4
gpt-4o,ethics,pilot_0073,4
gpt-4o,ethics,pilot_0074,4
gpt-4o,ethics,pilot_0075,4
gpt-4o,ethics,pilot_0076,4
gpt-4o,ethics,pilot_0077,4
gpt-4o,ethics,pilot_0078,3
gpt-4o,ethics,pilot_0079,4
gpt-4o,ethics,pilot_0080,4
gpt-4o,ethics,pilot_0081,5
gpt-4o,ethics,pilot_0082,3
gpt-4o,ethics,pilot_0083,4
gpt-4o,ethics,pilot_0084,4
gpt-4o,ethics,pilot_0085,4
gpt-4o,ethics,pilot_0086,4
gpt-4o,ethics,pilot_0087,5
gpt-4o,ethics,pilot_0088,4
gpt-4o,ethics,pilot_0089,4
gpt-4o,ethics,pilot_0090,4
gpt-4o,ethics,pilot_0091,4
gpt-4o,ethics,pilot_0092,4
gpt-4o,ethics,pilot_0093,4
gpt-4o,ethics,pilot_0094,4
gpt-4o,ethics,pilot_0095,4
gpt-4o,ethics,pilot_0096,4
gpt-4o,ethics,pilot_0097,4
gpt-4o,ethics,pilot_0098,4
gpt-4o,ethics,pilot_0099,4
gpt-4o,moral_stories,pilot_0500,4
gpt-4o,moral_stories,pilot_0501,4
gpt-4o,moral_stories,pilot_0502,4
gpt-4o,moral_stories,pilot_0503,4
gpt-4o,moral_stories,pilot_0504,4
gpt-4o,moral_stories,pilot_0505,4
gpt-4o,moral_stories,pilot_0506,4
gpt-4o,moral_stories,pilot_0507,4
gpt-4o,moral_stories,pilot_0508,4
gpt-4o,moral_stories,pilot_0509,4
gpt-4o,moral_stories,pilot_0510,4
gpt-4o,moral_stories,pilot_0511,4
gpt-4o,moral_stories,pilot_0512,4
gpt-4o,moral_stories,pilot_0513,4
gpt-4o,moral_stories,pilot_0514,4
gpt-4o,moral_stories,pilot_0515,4
gpt-4o,moral_stories,pilot_0516,4
gpt-4o,moral_stories,pilot_0517,4
gpt-4o,moral_stories,pilot_0518,4
gpt-4o,moral_stories,pilot_0519,4
gpt-4o,moral_stories,pilot_0520,4
gpt-4o,moral_stories,pilot_0521,4
gpt-4o,moral_stories,pilot_0522,4
gpt-4o,moral_stories,pilot_0523,4
gpt-4o,moral_stories,pilot_0524,4
gpt-4o,moral_stories,pilot_0525,4
gpt-4o,moral_stories,pilot_0526,4
gpt-4o,moral_stories,pilot_0527,4
gpt-4o,moral_stories,pilot_0528,4
gpt-4o,moral_stories,pilot_0529,4
gpt-4o,moral_stories,pilot_0530,4
gpt-4o,moral_stories,pilot_0531,4
gpt-4o,moral_stories,pilot_0532,4
gpt-4o,moral_stories,pilot_0533,4
gpt-4o,moral_stories,pilot_0534,4
gpt-4o,moral_stories,pilot_0535,4
gpt-4o,moral_stories,pilot_0536,4
gpt-4o,moral_stories,pilot_0537,4
gpt-4o,moral_stories,pilot_0538,4
gpt-4o,moral_stories,pilot_0539,4
gpt-4o,moral_stories,pilot_0540,4
gpt-4o,moral_stories,pilot_0541,4
gpt-4o,moral_stories,pilot_0542,4
gpt-4o,moral_stories,pilot_0543,4
gpt-4o,moral_stories,pilot_0544,4
gpt-4o,moral_stories,pilot_0545,4
gpt-4o,moral_stories,pilot_0546,4
gpt-4o,moral_stories,pilot_0547,4
gpt-4o,moral_stories,pilot_0548,4
gpt-4o,moral_stories,pilot_0549,4
gpt-4o,moral_stories,pilot_0550,4
gpt-4o,moral_stories,pilot_0551,4
gpt-4o,moral_stories,pilot_0552,4
gpt-4o,moral_stories,pilot_0553,4
gpt-4o,moral_stories,pilot_0554,4
gpt-4o,moral_stories,pilot_0555,4
gpt-4o,moral_stories,pilot_0556,4
gpt-4o,moral_stories,pilot_0557,4
gpt-4o,moral_stories,pilot_0558,4
gpt-4o,moral_stories,pilot_0559,4
gpt-4o,moral_stories,pilot_0560,4
gpt-4o,moral_stories,pilot_0561,4
gpt-4o,moral_stories,pilot_0562,4
gpt-4o,moral_stories,pilot_0563,4
gpt-4o,moral_stories,pilot_0564,3
gpt-4o,moral_stories,pilot_0565,4
gpt-4o,moral_stories,pilot_0566,4
gpt-4o,moral_stories,pilot_0567,4
gpt-4o,moral_stories,pilot_0568,4
gpt-4o,moral_stories,pilot_0569,4
gpt-4o,moral_stories,pilot_0570,4
gpt-4o,moral_stories,pilot_0571,4
gpt-4o,moral_stories,pilot_0572,3
gpt-4o,moral_stories,pilot_0573,4
gpt-4o,moral_stories,pilot_0574,4
gpt-4o,moral_stories,pilot_0575,4
gpt-4o,moral_stories,pilot_0576,4
gpt-4o,moral_stories,pilot_0577,4
gpt-4o,moral_stories,pilot_0578,4
gpt-4o,moral_stories,pilot_0579,4
gpt-4o,moral_stories,pilot_0580,4
gpt-4o,moral_stories,pilot_0581,4
gpt-4o,moral_stories,pilot_0582,4
gpt-4o,moral_stories,pilot_0583,4
gpt-4o,moral_stories,pilot_0584,4
gpt-4o,moral_stories,pilot_0585,4
gpt-4o,moral_stories,pilot_0586,4
gpt-4o,moral_stories,pilot_0587,4
gpt-4o,moral_stories,pilot_0588,4
gpt-4o,moral_stories,pilot_0589,4
gpt-4o,moral_stories,pilot_0590,4
gpt-4o,moral_stories,pilot_0591,4
gpt-4o,moral_stories,pilot_0592,3
gpt-4o,moral_stories,pilot_0593,4
gpt-4o,moral_stories,pilot_0594,4
gpt-4o,moral_stories,pilot_0595,4
gpt-4o,moral_stories,pilot_0596,3
gpt-4o,moral_stories,pilot_0597,4
gpt-4o,moral_stories,pilot_0598,4
gpt-4o,moral_stories,pilot_0599,4
gpt-4o,social_chem_101,pilot_1000,4
gpt-4o,social_chem_101,pilot_1001,4
gpt-4o,social_chem_101,pilot_1002,4
gpt-4o,social_chem_101,pilot_1003,4
gpt-4o,social_chem_101,pilot_1004,4
gpt-4o,social_chem_101,pilot_1005,4
gpt-4o,social_chem_101,pilot_1006,4
gpt-4o,social_chem_101,pilot_1007,4
gpt-4o,social_chem_101,pilot_1008,4
gpt-4o,social_chem_101,pilot_1009,4
gpt-4o,social_chem_101,pilot_1010,4
gpt-4o,social_chem_101,pilot_1011,4
gpt-4o,social_chem_101,pilot_1012,4
gpt-4o,social_chem_101,pilot_1013,4
gpt-4o,social_chem_101,pilot_1014,4
gpt-4o,social_chem_101,pilot_1015,4
gpt-4o,social_chem_101,pilot_1016,4
gpt-4o,social_chem_101,pilot_1017,4
gpt-4o,social_chem_101,pilot_1018,4
gpt-4o,social_chem_101,pilot_1019,4
gpt-4o,social_chem_101,pilot_1020,4
gpt-4o,social_chem_101,pilot_1021,4
gpt-4o,social_chem_101,pilot_1022,4
gpt-4o,social_chem_101,pilot_1023,4
gpt-4o,social_chem_101,pilot_1024,4
gpt-4o,social_chem_101,pilot_1025,4
gpt-4o,social_chem_101,pilot_1026,4
gpt-4o,social_chem_101,pilot_1027,4
gpt-4o,social_chem_101,pilot_1028,4
gpt-4o,social_chem_101,pilot_1029,4
gpt-4o,social_chem_101,pilot_1030,4
gpt-4o,social_chem_101,pilot_1031,4
gpt-4o,social_chem_101,pilot_1032,4
gpt-4o,social_chem_101,pilot_1033,4
gpt-4o,social_chem_101,pilot_1034,4
gpt-4o,social_chem_101,pilot_1035,4
gpt-4o,social_chem_101,pilot_1036,4
gpt-4o,social_chem_101,pilot_1037,4
gpt-4o,social_chem_101,pilot_1038,4
gpt-4o,social_chem_101,pilot_1039,4
gpt-4o,social_chem_101,pilot_1040,4
gpt-4o,social_chem_101,pilot_1041,4
gpt-4o,social_chem_101,pilot_1042,4
gpt-4o,social_chem_101,pilot_1043,3
gpt-4o,social_chem_101,pilot_1044,4
gpt-4o,social_chem_101,pilot_1045,4
gpt-4o,social_chem_101,pilot_1046,4
gpt-4o,social_chem_101,pilot_1047,4
gpt-4o,social_chem_101,pilot_1048,4
gpt-4o,social_chem_101,pilot_1049,4
gpt-4o,social_chem_101,pilot_1050,4
gpt-4o,social_chem_101,pilot_1051,4
gpt-4o,social_chem_101,pilot_1052,4
gpt-4o,social_chem_101,pilot_1053,4
gpt-4o,social_chem_101,pilot_1054,4
gpt-4o,social_chem_101,pilot_1055,4
gpt-4o,social_chem_101,pilot_1056,4
gpt-4o,social_chem_101,pilot_1057,4
gpt-4o,social_chem_101,pilot_1058,4
gpt-4o,social_chem_101,pilot_1059,4
gpt-4o,social_chem_101,pilot_1060,4
gpt-4o,social_chem_101,pilot_1061,4
gpt-4o,social_chem_101,pilot_1062,4
gpt-4o,social_chem_101,pilot_1063,4
gpt-4o,social_chem_101,pilot_1064,4
gpt-4o,social_chem_101,pilot_1065,4
gpt-4o,social_chem_101,pilot_1066,4
gpt-4o,social_chem_101,pilot_1067,4
gpt-4o,social_chem_101,pilot_1068,4
gpt-4o,social_chem_101,pilot_1069,3
gpt-4o,social_chem_101,pilot_1070,4
gpt-4o,social_chem_101,pilot_1071,4
gpt-4o,social_chem_101,pilot_1072,3
gpt-4o,social_chem_101,pilot_1073,4
gpt-4o,social_chem_101,pilot_1074,4
gpt-4o,social_chem_101,pilot_1075,4
gpt-4o,social_chem_101,pilot_1076,4
gpt-4o,social_chem_101,pilot_1077,4
gpt-4o,social_chem_101,pilot_1078,4
gpt-4o,social_chem_101,pilot_1079,4
gpt-4o,social_chem_101,pilot_1080,4
gpt-4o,social_chem_101,pilot_1081,4
gpt-4o,social_chem_101,pilot_1082,4
gpt-4o,social_chem_101,pilot_1083,4
gpt-4o,social_chem_101,pilot_1084,4
gpt-4o,social_chem_101,pilot_1085,4
gpt-4o,social_chem_101,pilot_1086,4
gpt-4o,social_chem_101,pilot_1087,4
gpt-4o,social_chem_101,pilot_1088,4
gpt-4o,social_chem_101,pilot_1089,4
gpt-4o,social_chem_101,pilot_1090,4
gpt-4o,social_chem_101,pilot_1091,4
gpt-4o,social_chem_101,pilot_1092,4
gpt-4o,social_chem_101,pilot_1093,4
gpt-4o,social_chem_101,pilot_1094,4
gpt-4o,social_chem_101,pilot_1095,4
gpt-4o,social_chem_101,pilot_1096,4
gpt-4o,social_chem_101,pilot_1097,4
gpt-4o,social_chem_101,pilot_1098,4
gpt-4o,social_chem_101,pilot_1099,4
gpt-4o-mini,ethics,pilot_0000,4
gpt-4o-mini,ethics,pilot_0001,5
gpt-4o-mini,ethics,pilot_0002,5
gpt-4o-mini,ethics,pilot_0003,4
gpt-4o-mini,ethics,pilot_0004,4
gpt-4o-mini,ethics,pilot_0005,4
gpt-4o-mini,ethics,pilot_0006,4
gpt-4o-mini,ethics,pilot_0007,4
gpt-4o-mini,ethics,pilot_0008,4
gpt-4o-mini,ethics,pilot_0009,4
gpt-4o-mini,ethics,pilot_0010,5
gpt-4o-mini,ethics,pilot_0011,4
gpt-4o-mini,ethics,pilot_0012,4
gpt-4o-mini,ethics,pilot_0013,4
gpt-4o-mini,ethics,pilot_0014,5
gpt-4o-mini,ethics,pilot_0015,4
gpt-4o-mini,ethics,pilot_0016,4
gpt-4o-mini,ethics,pilot_0017,4
gpt-4o-mini,ethics,pilot_0018,5
gpt-4o-mini,ethics,pilot_0019,4
gpt-4o-mini,ethics,pilot_0020,4
gpt-4o-mini,ethics,pilot_0021,4
gpt-4o-mini,ethics,pilot_0022,4
gpt-4o-mini,ethics,pilot_0023,4
gpt-4o-mini,ethics,pilot_0024,4
gpt-4o-mini,ethics,pilot_0025,4
gpt-4o-mini,ethics,pilot_0026,4
gpt-4o-mini,ethics,pilot_0027,4
gpt-4o-mini,ethics,pilot_0028,4
gpt-4o-mini,ethics,pilot_0029,4
gpt-4o-mini,ethics,pilot_0030,4
gpt-4o-mini,ethics,pilot_0031,4
gpt-4o-mini,ethics,pilot_0032,4
gpt-4o-mini,ethics,pilot_0033,4
gpt-4o-mini,ethics,pilot_0034,4
gpt-4o-mini,ethics,pilot_0035,4
gpt-4o-mini,ethics,pilot_0036,5
gpt-4o-mini,ethics,pilot_0037,4
gpt-4o-mini,ethics,pilot_0038,5
gpt-4o-mini,ethics,pilot_0039,5
gpt-4o-mini,ethics,pilot_0040,4
gpt-4o-mini,ethics,pilot_0041,4
gpt-4o-mini,ethics,pilot_0042,4
gpt-4o-mini,ethics,pilot_0043,5
gpt-4o-mini,ethics,pilot_0044,4
gpt-4o-mini,ethics,pilot_0045,4
gpt-4o-mini,ethics,pilot_0046,4
gpt-4o-mini,ethics,pilot_0047,5
gpt-4o-mini,ethics,pilot_0048,4
gpt-4o-mini,ethics,pilot_0049,4
gpt-4o-mini,ethics,pilot_0050,5
gpt-4o-mini,ethics,pilot_0051,4
gpt-4o-mini,ethics,pilot_0052,4
gpt-4o-mini,ethics,pilot_0053,4
gpt-4o-mini,ethics,pilot_0054,4
gpt-4o-mini,ethics,pilot_0055,4
gpt-4o-mini,ethics,pilot_0056,4
gpt-4o-mini,ethics,pilot_0057,4
gpt-4o-mini,ethics,pilot_0058,5
gpt-4o-mini,ethics,pilot_0059,5
gpt-4o-mini,ethics,pilot_0060,4
gpt-4o-mini,ethics,pilot_0061,4
gpt-4o-mini,ethics,pilot_0062,5
gpt-4o-mini,ethics,pilot_0063,4
gpt-4o-mini,ethics,pilot_0064,4
gpt-4o-mini,ethics,pilot_0065,4
gpt-4o-mini,ethics,pilot_0066,5
gpt-4o-mini,ethics,pilot_0067,5
gpt-4o-mini,ethics,pilot_0068,4
gpt-4o-mini,ethics,pilot_0069,4
gpt-4o-mini,ethics,pilot_0070,4
gpt-4o-mini,ethics,pilot_0071,4
gpt-4o-mini,ethics,pilot_0072,4
gpt-4o-mini,ethics,pilot_0073,5
gpt-4o-mini,ethics,pilot_0074,4
gpt-4o-mini,ethics,pilot_0075,5
gpt-4o-mini,ethics,pilot_0076,4
gpt-4o-mini,ethics,pilot_0077,4
gpt-4o-mini,ethics,pilot_0078,4
gpt-4o-mini,ethics,pilot_0079,4
gpt-4o-mini,ethics,pilot_0080,4
gpt-4o-mini,ethics,pilot_0081,5
gpt-4o-mini,ethics,pilot_0082,4
gpt-4o-mini,ethics,pilot_0083,4
gpt-4o-mini,ethics,pilot_0084,4
gpt-4o-mini,ethics,pilot_0085,4
gpt-4o-mini,ethics,pilot_0086,4
gpt-4o-mini,ethics,pilot_0087,5
gpt-4o-mini,ethics,pilot_0088,4
gpt-4o-mini,ethics,pilot_0089,4
gpt-4o-mini,ethics,pilot_0090,4
gpt-4o-mini,ethics,pilot_0091,4
gpt-4o-mini,ethics,pilot_0092,4
gpt-4o-mini,ethics,pilot_0093,4
gpt-4o-mini,ethics,pilot_0094,4
gpt-4o-mini,ethics,pilot_0095,4
gpt-4o-mini,ethics,pilot_0096,5
gpt-4o-mini,ethics,pilot_0097,4
gpt-4o-mini,ethics,pilot_0098,4
gpt-4o-mini,ethics,pilot_0099,5
gpt-4o-mini,moral_stories,pilot_0500,4
gpt-4o-mini,moral_stories,pilot_0501,4
gpt-4o-mini,moral_stories,pilot_0502,4
gpt-4o-mini,moral_stories,pilot_0503,4
gpt-4o-mini,moral_stories,pilot_0504,4
gpt-4o-mini,moral_stories,pilot_0505,4
gpt-4o-mini,moral_stories,pilot_0506,4
gpt-4o-mini,moral_stories,pilot_0507,4
gpt-4o-mini,moral_stories,pilot_0508,4
gpt-4o-mini,moral_stories,pilot_0509,4
gpt-4o-mini,moral_stories,pilot_0510,4
gpt-4o-mini,moral_stories,pilot_0511,4
gpt-4o-mini,moral_stories,pilot_0512,4
gpt-4o-mini,moral_stories,pilot_0513,5
gpt-4o-mini,moral_stories,pilot_0514,4
gpt-4o-mini,moral_stories,pilot_0515,4
gpt-4o-mini,moral_stories,pilot_0516,4
gpt-4o-mini,moral_stories,pilot_0517,4
gpt-4o-mini,moral_stories,pilot_0518,4
gpt-4o-mini,moral_stories,pilot_0519,4
gpt-4o-mini,moral_stories,pilot_0520,4
gpt-4o-mini,moral_stories,pilot_0521,4
gpt-4o-mini,moral_stories,pilot_0522,4
gpt-4o-mini,moral_stories,pilot_0523,4
gpt-4o-mini,moral_stories,pilot_0524,4
gpt-4o-mini,moral_stories,pilot_0525,4
gpt-4o-mini,moral_stories,pilot_0526,4
gpt-4o-mini,moral_stories,pilot_0527,4
gpt-4o-mini,moral_stories,pilot_0528,4
gpt-4o-mini,moral_stories,pilot_0529,4
gpt-4o-mini,moral_stories,pilot_0530,4
gpt-4o-mini,moral_stories,pilot_0531,4
gpt-4o-mini,moral_stories,pilot_0532,4
gpt-4o-mini,moral_stories,pilot_0533,4
gpt-4o-mini,moral_stories,pilot_0534,4
gpt-4o-mini,moral_stories,pilot_0535,4
gpt-4o-mini,moral_stories,pilot_0536,4
gpt-4o-mini,moral_stories,pilot_0537,4
gpt-4o-mini,moral_stories,pilot_0538,4
gpt-4o-mini,moral_stories,pilot_0539,4
gpt-4o-mini,moral_stories,pilot_0540,4
gpt-4o-mini,moral_stories,pilot_0541,4
gpt-4o-mini,moral_stories,pilot_0542,4
gpt-4o-mini,moral_stories,pilot_0543,4
gpt-4o-mini,moral_stories,pilot_0544,4
gpt-4o-mini,moral_stories,pilot_0545,4
gpt-4o-mini,moral_stories,pilot_0546,4
gpt-4o-mini,moral_stories,pilot_0547,4
gpt-4o-mini,moral_stories,pilot_0548,4
gpt-4o-mini,moral_stories,pilot_0549,4
gpt-4o-mini,moral_stories,pilot_0550,4
gpt-4o-mini,moral_stories,pilot_0551,4
gpt-4o-mini,moral_stories,pilot_0552,4
gpt-4o-mini,moral_stories,pilot_0553,4
gpt-4o-mini,moral_stories,pilot_0554,4
gpt-4o-mini,moral_stories,pilot_0555,4
gpt-4o-mini,moral_stories,pilot_0556,4
gpt-4o-mini,moral_stories,pilot_0557,4
gpt-4o-mini,moral_stories,pilot_0558,4
gpt-4o-mini,moral_stories,pilot_0559,4
gpt-4o-mini,moral_stories,pilot_0560,4
gpt-4o-mini,moral_stories,pilot_0561,4
gpt-4o-mini,moral_stories,pilot_0562,4
gpt-4o-mini,moral_stories,pilot_0563,4
gpt-4o-mini,moral_stories,pilot_0564,4
gpt-4o-mini,moral_stories,pilot_0565,4
gpt-4o-mini,moral_stories,pilot_0566,4
gpt-4o-mini,moral_stories,pilot_0567,4
gpt-4o-mini,moral_stories,pilot_0568,4
gpt-4o-mini,moral_stories,pilot_0569,4
gpt-4o-mini,moral_stories,pilot_0570,4
gpt-4o-mini,moral_stories,pilot_0571,4
gpt-4o-mini,moral_stories,pilot_0572,4
gpt-4o-mini,moral_stories,pilot_0573,4
gpt-4o-mini,moral_stories,pilot_0574,4
gpt-4o-mini,moral_stories,pilot_0575,4
gpt-4o-mini,moral_stories,pilot_0576,4
gpt-4o-mini,moral_stories,pilot_0577,4
gpt-4o-mini,moral_stories,pilot_0578,4
gpt-4o-mini,moral_stories,pilot_0579,4
gpt-4o-mini,moral_stories,pilot_0580,4
gpt-4o-mini,moral_stories,pilot_0581,4
gpt-4o-mini,moral_stories,pilot_0582,4
gpt-4o-mini,moral_stories,pilot_0583,4
gpt-4o-mini,moral_stories,pilot_0584,4
gpt-4o-mini,moral_stories,pilot_0585,4
gpt-4o-mini,moral_stories,pilot_0586,4
gpt-4o-mini,moral_stories,pilot_0587,4
gpt-4o-mini,moral_stories,pilot_0588,4
gpt-4o-mini,moral_stories,pilot_0589,4
gpt-4o-mini,moral_stories,pilot_0590,4
gpt-4o-mini,moral_stories,pilot_0591,4
gpt-4o-mini,moral_stories,pilot_0592,4
gpt-4o-mini,moral_stories,pilot_0593,4
gpt-4o-mini,moral_stories,pilot_0594,4
gpt-4o-mini,moral_stories,pilot_0595,4
gpt-4o-mini,moral_stories,pilot_0596,4
gpt-4o-mini,moral_stories,pilot_0597,4
gpt-4o-mini,moral_stories,pilot_0598,4
gpt-4o-mini,moral_stories,pilot_0599,4
gpt-4o-mini,social_chem_101,pilot_1000,5
gpt-4o-mini,social_chem_101,pilot_1001,4
