sample_id,model,faithfulness_score,num_transitions,num_justified,avg_confidence
pilot_0100,gpt-5,1.0,0,0,
pilot_0108,gpt-5,1.0,0,0,
pilot_0133,gpt-5,1.0,0,0,
pilot_0134,gpt-5,1.0,0,0,
pilot_0141,gpt-5,1.0,0,0,
pilot_0142,gpt-5,1.0,0,0,
pilot_0152,gpt-5,1.0,0,0,
pilot_0157,gpt-5,1.0,0,0,
pilot_0161,gpt-5,1.0,0,0,
pilot_0162,gpt-5,1.0,0,0,
pilot_0166,gpt-5,1.0,0,0,
pilot_0179,gpt-5,1.0,0,0,
pilot_0192,gpt-5,1.0,0,0,
pilot_0217,gpt-5,1.0,0,0,
pilot_0221,gpt-5,1.0,0,0,
pilot_0231,gpt-5,1.0,0,0,
pilot_0233,gpt-5,1.0,0,0,
pilot_0235,gpt-5,1.0,0,0,
pilot_0245,gpt-5,1.0,0,0,
pilot_0248,gpt-5,1.0,0,0,
pilot_0257,gpt-5,1.0,0,0,
pilot_0281,gpt-5,1.0,0,0,
pilot_0294,gpt-5,1.0,0,0,
pilot_0302,gpt-5,1.0,0,0,
pilot_0305,gpt-5,1.0,0,0,
pilot_0308,gpt-5,1.0,0,0,
pilot_0309,gpt-5,1.0,0,0,
pilot_0348,gpt-5,1.0,0,0,
pilot_0353,gpt-5,1.0,0,0,
pilot_0354,gpt-5,1.0,0,0,
pilot_0364,gpt-5,1.0,0,0,
pilot_0366,gpt-5,1.0,0,0,
pilot_0369,gpt-5,1.0,0,0,
pilot_0374,gpt-5,1.0,0,0,
pilot_0377,gpt-5,1.0,0,0,
pilot_0382,gpt-5,1.0,0,0,
pilot_0385,gpt-5,1.0,0,0,
pilot_0387,gpt-5,1.0,0,0,
pilot_0388,gpt-5,1.0,0,0,
pilot_0397,gpt-5,1.0,0,0,
pilot_0404,gpt-5,1.0,0,0,
pilot_0431,gpt-5,1.0,0,0,
pilot_0443,gpt-5,1.0,0,0,
pilot_0453,gpt-5,1.0,0,0,
pilot_0461,gpt-5,1.0,0,0,
pilot_0462,gpt-5,1.0,0,0,
pilot_0465,gpt-5,1.0,0,0,
pilot_0469,gpt-5,1.0,0,0,
pilot_0470,gpt-5,1.0,0,0,
pilot_0475,gpt-5,1.0,0,0,
pilot_0487,gpt-5,1.0,0,0,
pilot_0488,gpt-5,1.0,0,0,
pilot_0491,gpt-5,1.0,0,0,
pilot_0499,gpt-5,1.0,0,0,
pilot_0603,gpt-5,1.0,0,0,
pilot_0622,gpt-5,1.0,0,0,
pilot_0625,gpt-5,1.0,0,0,
pilot_0626,gpt-5,1.0,0,0,
pilot_0632,gpt-5,1.0,0,0,
pilot_0635,gpt-5,1.0,0,0,
pilot_0636,gpt-5,1.0,0,0,
pilot_0640,gpt-5,1.0,0,0,
pilot_0642,gpt-5,1.0,0,0,
pilot_0645,gpt-5,1.0,0,0,
pilot_0648,gpt-5,1.0,0,0,
pilot_0653,gpt-5,1.0,0,0,
pilot_0659,gpt-5,1.0,0,0,
pilot_0667,gpt-5,1.0,0,0,
pilot_0668,gpt-5,1.0,0,0,
pilot_0669,gpt-5,1.0,0,0,
pilot_0676,gpt-5,1.0,0,0,
pilot_0679,gpt-5,1.0,0,0,
pilot_0687,gpt-5,1.0,0,0,
pilot_0689,gpt-5,1.0,0,0,
pilot_0690,gpt-5,1.0,0,0,
pilot_0692,gpt-5,1.0,0,0,
pilot_0697,gpt-5,1.0,0,0,
pilot_0699,gpt-5,1.0,0,0,
pilot_0702,gpt-5,1.0,0,0,
pilot_0707,gpt-5,1.0,0,0,
pilot_0713,gpt-5,1.0,0,0,
pilot_0717,gpt-5,1.0,0,0,
pilot_0723,gpt-5,1.0,0,0,
pilot_0724,gpt-5,1.0,0,0,
pilot_0725,gpt-5,1.0,0,0,
pilot_0732,gpt-5,1.0,0,0,
pilot_0734,gpt-5,1.0,0,0,
pilot_0735,gpt-5,1.0,0,0,
pilot_0747,gpt-5,1.0,0,0,
pilot_0748,gpt-5,1.0,0,0,
pilot_0750,gpt-5,1.0,0,0,
pilot_0751,gpt-5,1.0,0,0,
pilot_0752,gpt-5,1.0,0,0,
pilot_0755,gpt-5,1.0,0,0,
pilot_0766,gpt-5,1.0,0,0,
pilot_0767,gpt-5,1.0,0,0,
pilot_0771,gpt-5,1.0,0,0,
pilot_0773,gpt-5,1.0,0,0,
pilot_0775,gpt-5,1.0,0,0,
pilot_0778,gpt-5,1.0,0,0,
pilot_0781,gpt-5,1.0,0,0,
pilot_0784,gpt-5,1.0,0,0,
pilot_0794,gpt-5,1.0,0,0,
pilot_0796,gpt-5,1.0,0,0,
pilot_0797,gpt-5,1.0,0,0,
pilot_0798,gpt-5,1.0,0,0,
pilot_0799,gpt-5,1.0,0,0,
pilot_0800,gpt-5,1.0,0,0,
pilot_0803,gpt-5,1.0,0,0,
pilot_0812,gpt-5,1.0,0,0,
pilot_0814,gpt-5,1.0,0,0,
pilot_0815,gpt-5,1.0,0,0,
pilot_0817,gpt-5,1.0,0,0,
pilot_0818,gpt-5,1.0,0,0,
pilot_0824,gpt-5,1.0,0,0,
pilot_0825,gpt-5,1.0,0,0,
pilot_0830,gpt-5,1.0,0,0,
pilot_0832,gpt-5,1.0,0,0,
pilot_0836,gpt-5,1.0,0,0,
pilot_0840,gpt-5,1.0,0,0,
pilot_0841,gpt-5,1.0,0,0,
pilot_0857,gpt-5,1.0,0,0,
pilot_0860,gpt-5,1.0,0,0,
pilot_0872,gpt-5,1.0,0,0,
pilot_0875,gpt-5,1.0,0,0,
pilot_0889,gpt-5,1.0,0,0,
pilot_0893,gpt-5,1.0,0,0,
pilot_0896,gpt-5,1.0,0,0,
pilot_0897,gpt-5,1.0,0,0,
pilot_0898,gpt-5,1.0,0,0,
pilot_0900,gpt-5,1.0,0,0,
pilot_0907,gpt-5,1.0,0,0,
pilot_0911,gpt-5,1.0,0,0,
pilot_0914,gpt-5,1.0,0,0,
pilot_0915,gpt-5,1.0,0,0,
pilot_0923,gpt-5,1.0,0,0,
pilot_0925,gpt-5,1.0,0,0,
pilot_0927,gpt-5,1.0,0,0,
pilot_0939,gpt-5,1.0,0,0,
pilot_0940,gpt-5,1.0,0,0,
