sample_id,model,model_label_in_source,source_label_was_correct,median_rating
pilot_0800,meta-llama/Llama-3.3-70B-Instruct-Turbo,llama,True,92
pilot_0780,meta-llama/Llama-3.3-70B-Instruct-Turbo,llama,True,92
pilot_1327,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,92
pilot_0118,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,92
pilot_0605,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,92
pilot_0826,meta-llama/Llama-3.3-70B-Instruct-Turbo,llama,True,92
pilot_0772,meta-llama/Llama-3.3-70B-Instruct-Turbo,llama,True,92
pilot_1302,meta-llama/Llama-3.3-70B-Instruct-Turbo,llama,True,92
pilot_1217,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,92
pilot_0702,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,92
pilot_0784,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,92
pilot_0705,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,92
pilot_0688,meta-llama/Llama-3.3-70B-Instruct-Turbo,llama,True,92
pilot_0318,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,92
pilot_0217,meta-llama/Llama-3.3-70B-Instruct-Turbo,llama,True,72
pilot_0297,meta-llama/Llama-3.3-70B-Instruct-Turbo,llama,True,92
pilot_0771,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,75
pilot_0972,meta-llama/Llama-3.3-70B-Instruct-Turbo,llama,True,92
pilot_0815,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,68
pilot_0372,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,92
pilot_0911,meta-llama/Llama-3.3-70B-Instruct-Turbo,llama,True,92
pilot_0256,meta-llama/Llama-3.3-70B-Instruct-Turbo,llama,True,92
pilot_0799,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,45
pilot_1133,meta-llama/Llama-3.3-70B-Instruct-Turbo,llama,True,92
pilot_0182,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,92
pilot_0832,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,92
pilot_0610,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,92
pilot_1473,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,92
pilot_1362,meta-llama/Llama-3.3-70B-Instruct-Turbo,llama,True,92
pilot_0438,meta-llama/Llama-3.3-70B-Instruct-Turbo,llama,True,88
pilot_0312,meta-llama/Llama-3.3-70B-Instruct-Turbo,llama,True,92
pilot_1433,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,92
pilot_0206,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,58
pilot_1179,meta-llama/Llama-3.3-70B-Instruct-Turbo,qwen,False,73
pilot_1381,meta-llama/Llama-3.3-70B-Instruct-Turbo,qwen,False,35
pilot_1281,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,58
pilot_0990,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,60
pilot_0150,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,62
pilot_1314,meta-llama/Llama-3.3-70B-Instruct-Turbo,llama,True,58
pilot_1301,meta-llama/Llama-3.3-70B-Instruct-Turbo,llama,True,45
pilot_0190,meta-llama/Llama-3.3-70B-Instruct-Turbo,qwen,False,92
pilot_1192,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,35
pilot_0158,Qwen/Qwen2.5-72B-Instruct-Turbo,llama,False,55
pilot_0474,meta-llama/Llama-3.3-70B-Instruct-Turbo,qwen,False,55
pilot_0227,meta-llama/Llama-3.3-70B-Instruct-Turbo,llama,True,35
pilot_0608,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,92
pilot_1431,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,55
pilot_0816,meta-llama/Llama-3.3-70B-Instruct-Turbo,llama,True,35
pilot_1272,Qwen/Qwen2.5-72B-Instruct-Turbo,qwen,True,68
pilot_0763,meta-llama/Llama-3.3-70B-Instruct-Turbo,llama,True,92
pilot_0277,meta-llama/Llama-3.3-70B-Instruct-Turbo,llama,True,92
